entry_id,user_id,entry_date,journal_text,sentiment_score,primary_emotion,mood_category,consecutive_low_days,spiral_flag,department,year_of_study
38,student_002,2026-02-18,"Got selected for the college fest team, super excited! Mess ka khana kharab tha.",0.55,hope,Positive,0,False,Engineering,3
39,student_002,2026-02-19,My roommate helped me a lot with the assignment. Mess ka khana kharab tha.,0.78,hope,Positive,0,False,Engineering,3
40,student_002,2026-02-20,"In the group project, everyone is blaming me for everything.",-0.92,anxiety,Negative,1,False,Engineering,3
41,student_002,2026-02-21,Weather was nice but I stayed in and rested.,0.14,neutral,Neutral,0,False,Engineering,3
42,student_002,2026-02-23,Studied for a while in the library. Ghar ki yaad aa rahi hai.,-0.12,neutral,Neutral,0,False,Engineering,3
43,student_002,2026-02-24,"I'm really scared about the upcoming exams, nothing is making sense. Ghar ki yaad aa rahi hai.",-0.8,gratitude,Negative,1,False,Engineering,3
44,student_002,2026-02-25,Feeling very lonely in the hostel these days. Ghar ki yaad aa rahi hai.,-0.85,hope,Negative,2,False,Engineering,3
45,student_002,2026-02-26,"Got selected for the college fest team, super excited!",0.63,gratitude,Positive,0,False,Engineering,3
46,student_002,2026-02-27,"Just a normal day, nothing special happened. Ghar ki yaad aa rahi hai.",0.29,neutral,Neutral,0,False,Engineering,3
47,student_002,2026-02-28,"There was a power cut the whole night, couldn't finish the assignment. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.",-0.75,gratitude,Negative,1,False,Engineering,3
48,student_002,2026-03-01,"Got selected for the college fest team, super excited!",0.86,joy,Positive,0,False,Engineering,3
49,student_003,2026-02-01,My roommate helped me a lot with the assignment.,0.57,joy,Positive,0,False,Arts,2
50,student_003,2026-02-02,Weather was nice but I stayed in and rested.,0.28,neutral,Neutral,0,False,Arts,2
51,student_003,2026-02-03,"Got selected for the college fest team, super excited!",0.76,hope,Positive,0,False,Arts,2
52,student_003,2026-02-04,Studied for a while in the library.,-0.12,neutral,Neutral,0,False,Arts,2
53,student_003,2026-02-05,"Got selected for the college fest team, super excited!",0.57,joy,Positive,0,False,Arts,2
54,student_003,2026-02-06,Had a productive study session in the library.,0.66,hope,Positive,0,False,Arts,2
55,student_003,2026-02-07,Had a productive study session in the library.,0.56,joy,Positive,0,False,Arts,2
56,student_003,2026-02-08,Attended classes and submitted the assignment on time. Ghar ki yaad aa rahi hai.,-0.17,neutral,Neutral,0,False,Arts,2
57,student_003,2026-02-09,Weather was nice but I stayed in and rested.,0.03,neutral,Neutral,0,False,Arts,2
58,student_003,2026-02-10,"Just a normal day, nothing special happened. Ghar ki yaad aa rahi hai.",0.28,neutral,Neutral,0,False,Arts,2
59,student_003,2026-02-11,"In the group project, everyone is blaming me for everything.",-0.55,fear,Negative,1,False,Arts,2
60,student_003,2026-02-12,"Professor scolded me in front of the whole class, felt really bad.",-0.41,anger,Negative,2,False,Arts,2
61,student_003,2026-02-13,"Got rejected from the internship I wanted, feeling demotivated.",-0.57,sadness,Negative,3,False,Arts,2
62,student_003,2026-02-14,Studied for a while in the library. Mess ka khana kharab tha.,-0.12,neutral,Neutral,0,False,Arts,2
63,student_003,2026-02-15,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Mess ka khana kharab tha.",0.7,joy,Positive,0,False,Arts,2
64,student_003,2026-02-16,Had a productive study session in the library.,0.87,gratitude,Positive,0,False,Arts,2
65,student_003,2026-02-18,"Professor scolded me in front of the whole class, felt really bad.",-0.47,neutral,Negative,1,False,Arts,2
66,student_003,2026-02-19,Made solid progress in placement preparation today. Mess ka khana kharab tha.,0.77,hope,Positive,0,False,Arts,2
67,student_003,2026-02-20,"Had a great time with friends at the canteen, ate vada pav and laughed a lot.",0.9,joy,Positive,0,False,Arts,2
68,student_003,2026-02-21,Made solid progress in placement preparation today. Mess ka khana kharab tha.,0.58,gratitude,Positive,0,False,Arts,2
69,student_003,2026-02-22,The mess food was average today. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,-0.19,neutral,Neutral,0,False,Arts,2
70,student_003,2026-02-24,"Today's lecture was awesome, finally understood the concept!",0.81,joy,Positive,0,False,Arts,2
71,student_003,2026-02-25,The mess food was average today.,-0.07,neutral,Neutral,0,False,Arts,2
72,student_003,2026-02-26,My roommate helped me a lot with the assignment.,0.83,gratitude,Positive,0,False,Arts,2
73,student_003,2026-03-01,"Professor scolded me in front of the whole class, felt really bad. Ghar ki yaad aa rahi hai.",-0.59,neutral,Negative,1,False,Arts,2
74,student_004,2026-02-01,My roommate helped me a lot with the assignment.,0.68,joy,Positive,0,False,Arts,1
75,student_004,2026-02-02,Studied for a while in the library.,0.22,neutral,Neutral,0,False,Arts,1
76,student_004,2026-02-03,Went to lectures and came back to the hostel.,0.09,neutral,Neutral,0,False,Arts,1
77,student_004,2026-02-04,Attended classes and submitted the assignment on time. Ghar ki yaad aa rahi hai.,0.33,neutral,Neutral,0,False,Arts,1
78,student_004,2026-02-05,Studied for a while in the library. Mess ka khana kharab tha.,-0.09,neutral,Neutral,0,False,Arts,1
79,student_004,2026-02-06,"Scored well in the mid-sem exam, feeling really good!",0.55,hope,Positive,0,False,Arts,1
80,student_004,2026-02-07,"Got selected for the college fest team, super excited!",0.53,hope,Positive,0,False,Arts,1
81,student_004,2026-02-08,"Today's lecture was awesome, finally understood the concept! Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.",0.78,hope,Positive,0,False,Arts,1
82,student_004,2026-02-09,My roommate helped me a lot with the assignment. Mess ka khana kharab tha.,0.7,hope,Positive,0,False,Arts,1
83,student_004,2026-02-10,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.",0.47,hope,Positive,0,False,Arts,1
84,student_004,2026-02-11,Made solid progress in placement preparation today. Mess ka khana kharab tha.,0.82,joy,Positive,0,False,Arts,1
85,student_004,2026-02-12,"Scored well in the mid-sem exam, feeling really good! Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.",0.69,joy,Positive,0,False,Arts,1
86,student_004,2026-02-13,Attended classes and submitted the assignment on time.,-0.14,neutral,Neutral,0,False,Arts,1
87,student_004,2026-02-14,Made solid progress in placement preparation today. Mess ka khana kharab tha.,0.54,joy,Positive,0,False,Arts,1
88,student_004,2026-02-15,"Today's lecture was awesome, finally understood the concept!",0.48,joy,Positive,0,False,Arts,1
89,student_004,2026-02-16,Had a productive study session in the library.,0.74,gratitude,Positive,0,False,Arts,1
90,student_004,2026-02-17,Had a productive study session in the library.,0.71,hope,Positive,0,False,Arts,1
91,student_004,2026-02-18,Had a productive study session in the library. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,0.76,joy,Positive,0,False,Arts,1
92,student_004,2026-02-19,"Today's lecture was awesome, finally understood the concept!",0.66,joy,Positive,0,False,Arts,1
93,student_004,2026-02-20,Had a productive study session in the library.,0.91,gratitude,Positive,0,False,Arts,1
94,student_004,2026-02-22,"Scored well in the mid-sem exam, feeling really good! Ghar ki yaad aa rahi hai.",0.49,hope,Positive,0,False,Arts,1
95,student_004,2026-02-23,"Just a normal day, nothing special happened.",0.04,neutral,Neutral,0,False,Arts,1
96,student_004,2026-02-24,"Just a normal day, nothing special happened.",0.16,neutral,Neutral,0,False,Arts,1
97,student_004,2026-02-26,"Just a normal day, nothing special happened.",-0.04,neutral,Neutral,0,False,Arts,1
98,student_004,2026-02-27,My roommate helped me a lot with the assignment.,0.5,hope,Positive,0,False,Arts,1
99,student_004,2026-02-28,The mess food was average today. Mess ka khana kharab tha.,0.31,neutral,Neutral,0,False,Arts,1
100,student_004,2026-03-01,The mess food was average today.,0.07,neutral,Neutral,0,False,Arts,1
101,student_004,2026-03-02,Had a productive study session in the library.,0.94,gratitude,Positive,0,False,Arts,1
102,student_005,2026-02-01,"Just a normal day, nothing special happened. Mess ka khana kharab tha.",0.36,neutral,Neutral,0,False,Business,1
103,student_005,2026-02-02,Weather was nice but I stayed in and rested. Ghar ki yaad aa rahi hai.,-0.1,neutral,Neutral,0,False,Business,1
104,student_005,2026-02-04,Had a productive study session in the library.,0.46,gratitude,Positive,0,False,Business,1
105,student_005,2026-02-05,"Got selected for the college fest team, super excited! Mess ka khana kharab tha.",0.94,gratitude,Positive,0,False,Business,1
106,student_005,2026-02-06,My roommate helped me a lot with the assignment.,0.88,gratitude,Positive,0,False,Business,1
107,student_005,2026-02-07,"Just a normal day, nothing special happened. Mess ka khana kharab tha.",0.15,neutral,Neutral,0,False,Business,1
108,student_005,2026-02-08,Made solid progress in placement preparation today. Mess ka khana kharab tha.,0.7,gratitude,Positive,0,False,Business,1
109,student_005,2026-02-09,The mess food was average today. Mess ka khana kharab tha.,-0.17,neutral,Neutral,0,False,Business,1
110,student_005,2026-02-10,Weather was nice but I stayed in and rested.,-0.11,neutral,Neutral,0,False,Business,1
111,student_005,2026-02-11,"Just a normal day, nothing special happened.",0.12,neutral,Neutral,0,False,Business,1
112,student_005,2026-02-13,"In the group project, everyone is blaming me for everything.",-0.75,overwhelm,Negative,1,False,Business,1
113,student_005,2026-02-14,"Professor scolded me in front of the whole class, felt really bad.",-0.42,anger,Negative,2,False,Business,1
114,student_005,2026-02-15,"Today's lecture was awesome, finally understood the concept! Mess ka khana kharab tha.",0.56,hope,Positive,0,False,Business,1
115,student_005,2026-02-17,"There was a power cut the whole night, couldn't finish the assignment.",-0.41,joy,Negative,1,False,Business,1
116,student_005,2026-02-18,"In the group project, everyone is blaming me for everything. Mess ka khana kharab tha.",-0.86,fear,Negative,2,False,Business,1
117,student_005,2026-02-19,The mess food was terrible and now my stomach is upset. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,-0.43,neutral,Negative,3,False,Business,1
118,student_005,2026-02-20,"Got rejected from the internship I wanted, feeling demotivated. Mess ka khana kharab tha.",-0.67,joy,Negative,4,False,Business,1
119,student_005,2026-02-21,I've been feeling down for so many days in a row.,-0.86,anger,Negative,5,True,Business,1
120,student_005,2026-02-22,I feel like crying for no reason.,-0.8,sadness,Negative,6,True,Business,1
121,student_005,2026-02-23,Nothing seems to matter right now. Ghar ki yaad aa rahi hai.,-0.72,anxiety,Negative,7,True,Business,1
122,student_005,2026-02-24,I feel like crying for no reason. Mess ka khana kharab tha.,-0.71,joy,Negative,8,True,Business,1
123,student_005,2026-02-25,"In the group project, everyone is blaming me for everything.",-0.45,sadness,Negative,9,True,Business,1
124,student_005,2026-02-26,"Couldn't concentrate at all today, everything feels overwhelming.",-0.57,sadness,Negative,10,True,Business,1
125,student_005,2026-02-27,Attended classes and submitted the assignment on time.,0.19,neutral,Neutral,0,False,Business,1
126,student_005,2026-02-28,"In the group project, everyone is blaming me for everything.",-0.9,sadness,Negative,1,False,Business,1
127,student_005,2026-03-01,Maybe I should go for counselling but the stigma is too much. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,-0.63,anxiety,Negative,2,False,Business,1
128,student_005,2026-03-02,Everything has been feeling pointless for the past few days.,-0.46,anger,Negative,3,False,Business,1
129,student_006,2026-02-01,Had a productive study session in the library.,0.8,hope,Positive,0,False,Arts,3
130,student_006,2026-02-02,Went to lectures and came back to the hostel. Mess ka khana kharab tha.,0.25,neutral,Neutral,0,False,Arts,3
131,student_006,2026-02-03,"In the group project, everyone is blaming me for everything.",-0.58,fear,Negative,1,False,Arts,3
132,student_006,2026-02-04,Weather was nice but I stayed in and rested.,-0.02,neutral,Neutral,0,False,Arts,3
133,student_006,2026-02-08,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Ghar ki yaad aa rahi hai.",0.65,gratitude,Positive,0,False,Arts,3
134,student_006,2026-02-09,"In the group project, everyone is blaming me for everything.",-0.39,sadness,Negative,1,False,Arts,3
135,student_006,2026-02-11,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Ghar ki yaad aa rahi hai.",0.78,hope,Positive,0,False,Arts,3
136,student_006,2026-02-12,"Had a great time with friends at the canteen, ate vada pav and laughed a lot.",0.85,hope,Positive,0,False,Arts,3
137,student_006,2026-02-13,"I'm really scared about the upcoming exams, nothing is making sense. Ghar ki yaad aa rahi hai.",-0.87,neutral,Negative,1,False,Arts,3
138,student_006,2026-02-15,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Ghar ki yaad aa rahi hai.",0.83,gratitude,Positive,0,False,Arts,3
139,student_006,2026-02-16,"Had a great time with friends at the canteen, ate vada pav and laughed a lot.",0.46,joy,Positive,0,False,Arts,3
140,student_006,2026-02-18,"Scored well in the mid-sem exam, feeling really good! Mess ka khana kharab tha.",0.47,hope,Positive,0,False,Arts,3
141,student_006,2026-02-21,My roommate helped me a lot with the assignment. Mess ka khana kharab tha.,0.92,hope,Positive,0,False,Arts,3
142,student_006,2026-02-22,The mess food was average today. Ghar ki yaad aa rahi hai.,0.4,neutral,Neutral,0,False,Arts,3
143,student_006,2026-02-23,"Got selected for the college fest team, super excited! Ghar ki yaad aa rahi hai.",0.44,joy,Positive,0,False,Arts,3
144,student_006,2026-02-24,Weather was nice but I stayed in and rested. Mess ka khana kharab tha.,0.12,neutral,Neutral,0,False,Arts,3
145,student_006,2026-02-25,Had a productive study session in the library.,0.76,hope,Positive,0,False,Arts,3
146,student_006,2026-02-26,"Had a great time with friends at the canteen, ate vada pav and laughed a lot.",0.62,gratitude,Positive,0,False,Arts,3
147,student_006,2026-02-27,Attended classes and submitted the assignment on time.,-0.15,neutral,Neutral,0,False,Arts,3
148,student_006,2026-03-02,Went to lectures and came back to the hostel.,0.2,neutral,Neutral,0,False,Arts,3
149,student_007,2026-02-01,Studied for a while in the library. Mess ka khana kharab tha.,-0.11,neutral,Neutral,0,False,Arts,4
150,student_007,2026-02-02,Had a productive study session in the library. Ghar ki yaad aa rahi hai.,0.55,gratitude,Positive,0,False,Arts,4
151,student_007,2026-02-03,"I'm really scared about the upcoming exams, nothing is making sense.",-0.53,joy,Negative,1,False,Arts,4
152,student_007,2026-02-04,Studied for a while in the library. Ghar ki yaad aa rahi hai.,-0.11,neutral,Neutral,0,False,Arts,4
153,student_007,2026-02-06,Went to lectures and came back to the hostel. Mess ka khana kharab tha.,0.0,neutral,Neutral,0,False,Arts,4
154,student_007,2026-02-07,My roommate helped me a lot with the assignment.,0.49,hope,Positive,0,False,Arts,4
155,student_007,2026-02-09,My roommate helped me a lot with the assignment.,0.82,gratitude,Positive,0,False,Arts,4
156,student_007,2026-02-10,"Got selected for the college fest team, super excited!",0.57,gratitude,Positive,0,False,Arts,4
157,student_007,2026-02-11,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.",0.48,gratitude,Positive,0,False,Arts,4
158,student_007,2026-02-12,"Got selected for the college fest team, super excited! Ghar ki yaad aa rahi hai.",0.69,hope,Positive,0,False,Arts,4
159,student_007,2026-02-13,The mess food was average today. Ghar ki yaad aa rahi hai.,-0.19,neutral,Neutral,0,False,Arts,4
160,student_007,2026-02-14,Weather was nice but I stayed in and rested.,0.04,neutral,Neutral,0,False,Arts,4
161,student_007,2026-02-15,Weather was nice but I stayed in and rested. Ghar ki yaad aa rahi hai.,0.31,neutral,Neutral,0,False,Arts,4
162,student_007,2026-02-16,"Today's lecture was awesome, finally understood the concept!",0.59,joy,Positive,0,False,Arts,4
163,student_007,2026-02-18,Studied for a while in the library.,0.19,neutral,Neutral,0,False,Arts,4
164,student_007,2026-02-19,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.",0.82,joy,Positive,0,False,Arts,4
165,student_007,2026-02-20,Went to lectures and came back to the hostel.,0.35,neutral,Neutral,0,False,Arts,4
166,student_007,2026-02-21,"Just a normal day, nothing special happened.",0.28,neutral,Neutral,0,False,Arts,4
167,student_007,2026-02-22,Made solid progress in placement preparation today. Ghar ki yaad aa rahi hai.,0.86,hope,Positive,0,False,Arts,4
168,student_007,2026-02-23,Went to lectures and came back to the hostel.,0.37,neutral,Neutral,0,False,Arts,4
169,student_007,2026-02-24,Studied for a while in the library.,0.37,neutral,Neutral,0,False,Arts,4
170,student_007,2026-02-26,"Got selected for the college fest team, super excited! Mess ka khana kharab tha.",0.42,gratitude,Positive,0,False,Arts,4
171,student_007,2026-02-27,Studied for a while in the library.,0.21,neutral,Neutral,0,False,Arts,4
172,student_007,2026-02-28,"Just a normal day, nothing special happened.",-0.05,neutral,Neutral,0,False,Arts,4
173,student_007,2026-03-01,Studied for a while in the library. Mess ka khana kharab tha.,0.2,neutral,Neutral,0,False,Arts,4
174,student_007,2026-03-02,The mess food was average today.,-0.12,neutral,Neutral,0,False,Arts,4
175,student_008,2026-02-02,The mess food was average today. Mess ka khana kharab tha.,-0.11,neutral,Neutral,0,False,CS,4
176,student_008,2026-02-03,Had a productive study session in the library.,0.69,hope,Positive,0,False,CS,4
177,student_008,2026-02-04,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Mess ka khana kharab tha.",0.74,hope,Positive,0,False,CS,4
178,student_008,2026-02-05,"Got selected for the college fest team, super excited!",0.74,joy,Positive,0,False,CS,4
179,student_008,2026-02-06,Had a productive study session in the library.,0.51,gratitude,Positive,0,False,CS,4
180,student_008,2026-02-07,The mess food was average today.,0.28,neutral,Neutral,0,False,CS,4
181,student_008,2026-02-08,Made solid progress in placement preparation today.,0.46,joy,Positive,0,False,CS,4
182,student_008,2026-02-09,Went to lectures and came back to the hostel. Mess ka khana kharab tha.,0.37,neutral,Neutral,0,False,CS,4
183,student_008,2026-02-10,"Professor scolded me in front of the whole class, felt really bad. Mess ka khana kharab tha.",-0.81,gratitude,Negative,1,False,CS,4
184,student_008,2026-02-11,"Today's lecture was awesome, finally understood the concept!",0.84,joy,Positive,0,False,CS,4
185,student_008,2026-02-12,Attended classes and submitted the assignment on time.,0.17,neutral,Neutral,0,False,CS,4
186,student_008,2026-02-14,"Got selected for the college fest team, super excited!",0.83,gratitude,Positive,0,False,CS,4
187,student_008,2026-02-15,"Got selected for the college fest team, super excited!",0.46,hope,Positive,0,False,CS,4
188,student_008,2026-02-16,Weather was nice but I stayed in and rested. Mess ka khana kharab tha.,0.17,neutral,Neutral,0,False,CS,4
189,student_008,2026-02-17,"Got selected for the college fest team, super excited! Mess ka khana kharab tha.",0.44,hope,Positive,0,False,CS,4
190,student_008,2026-02-18,The mess food was average today. Ghar ki yaad aa rahi hai.,0.03,neutral,Neutral,0,False,CS,4
191,student_008,2026-02-19,Had a productive study session in the library. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,0.76,hope,Positive,0,False,CS,4
192,student_008,2026-02-20,"Today's lecture was awesome, finally understood the concept!",0.75,hope,Positive,0,False,CS,4
193,student_008,2026-02-21,"Had a great time with friends at the canteen, ate vada pav and laughed a lot. Mess ka khana kharab tha.",0.65,joy,Positive,0,False,CS,4
194,student_008,2026-02-23,"Scored well in the mid-sem exam, feeling really good!",0.7,joy,Positive,0,False,CS,4
195,student_008,2026-02-24,"Scored well in the mid-sem exam, feeling really good! Ghar ki yaad aa rahi hai.",0.76,joy,Positive,0,False,CS,4
196,student_008,2026-02-25,Made solid progress in placement preparation today.,0.61,gratitude,Positive,0,False,CS,4
197,student_008,2026-02-26,Had a productive study session in the library.,0.8,gratitude,Positive,0,False,CS,4
198,student_008,2026-02-27,Studied for a while in the library. Mess ka khana kharab tha.,-0.02,neutral,Neutral,0,False,CS,4
199,student_008,2026-02-28,"Got selected for the college fest team, super excited!",0.8,hope,Positive,0,False,CS,4
200,student_008,2026-03-01,Had a productive study session in the library. Ghar ki yaad aa rahi hai.,0.75,hope,Positive,0,False,CS,4
201,student_008,2026-03-02,Feeling very lonely in the hostel these days.,-0.69,hope,Negative,1,False,CS,4
202,student_009,2026-02-01,My roommate helped me a lot with the assignment. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,0.65,gratitude,Positive,0,False,CS,2
203,student_009,2026-02-02,"Had a great time with friends at the canteen, ate vada pav and laughed a lot.",0.76,joy,Positive,0,False,CS,2
204,student_009,2026-02-04,"In the group project, everyone is blaming me for everything. Mess ka khana kharab tha.",-0.68,sadness,Negative,1,False,CS,2
205,student_009,2026-02-05,Attended classes and submitted the assignment on time.,0.34,neutral,Neutral,0,False,CS,2
206,student_009,2026-02-06,The mess food was terrible and now my stomach is upset.,-0.62,sadness,Negative,1,False,CS,2
207,student_009,2026-02-07,Weather was nice but I stayed in and rested.,0.11,neutral,Neutral,0,False,CS,2
208,student_009,2026-02-08,The mess food was average today. Mess ka khana kharab tha.,0.02,neutral,Neutral,0,False,CS,2
209,student_009,2026-02-09,The mess food was average today.,0.12,neutral,Neutral,0,False,CS,2
210,student_009,2026-02-10,"Scored well in the mid-sem exam, feeling really good!",0.77,joy,Positive,0,False,CS,2
211,student_009,2026-02-11,Attended classes and submitted the assignment on time. Ghar ki yaad aa rahi hai.,0.1,neutral,Neutral,0,False,CS,2
212,student_009,2026-02-12,Attended classes and submitted the assignment on time. Mess ka khana kharab tha.,0.01,neutral,Neutral,0,False,CS,2
213,student_009,2026-02-13,Weather was nice but I stayed in and rested.,0.18,neutral,Neutral,0,False,CS,2
214,student_009,2026-02-15,Attended classes and submitted the assignment on time.,0.16,neutral,Neutral,0,False,CS,2
215,student_009,2026-02-16,"Today's lecture was awesome, finally understood the concept!",0.55,hope,Positive,0,False,CS,2
216,student_009,2026-02-17,Weather was nice but I stayed in and rested.,-0.02,neutral,Neutral,0,False,CS,2
217,student_009,2026-02-18,"Just a normal day, nothing special happened. Ghar ki yaad aa rahi hai.",0.05,neutral,Neutral,0,False,CS,2
218,student_009,2026-02-19,Weather was nice but I stayed in and rested. Mess ka khana kharab tha.,0.01,neutral,Neutral,0,False,CS,2
219,student_009,2026-02-20,My roommate helped me a lot with the assignment. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,0.47,joy,Positive,0,False,CS,2
220,student_009,2026-02-21,Made solid progress in placement preparation today.,0.93,gratitude,Positive,0,False,CS,2
221,student_009,2026-02-22,Attended classes and submitted the assignment on time.,0.1,neutral,Neutral,0,False,CS,2
222,student_009,2026-02-23,Made solid progress in placement preparation today.,0.52,joy,Positive,0,False,CS,2
223,student_009,2026-02-25,The mess food was average today. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,-0.14,neutral,Neutral,0,False,CS,2
224,student_009,2026-02-26,The mess food was terrible and now my stomach is upset. Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.,-0.61,anxiety,Negative,1,False,CS,2
225,student_009,2026-02-27,My roommate helped me a lot with the assignment.,0.85,joy,Positive,0,False,CS,2
226,student_009,2026-02-28,Had a productive study session in the library.,0.6,joy,Positive,0,False,CS,2
227,student_009,2026-03-01,"Today's lecture was awesome, finally understood the concept! Mess ka khana kharab tha. Ghar ki yaad aa rahi hai.",0.58,hope,Positive,0,False,CS,2
228,student_009,2026-03-02,Studied for a while in the library.,0.04,neutral,Neutral,0,False,CS,2
229,student_010,2026-02-01,The mess food was average today.,0.2,neutral,Neutral,0,False,Science,3
